target_chembl_id,target_pref_name,target_organism,uniprot_accession,has_uniprot
CHEMBL3621036,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Homo sapiens,Q7Z650,True
CHEMBL2541,"C-1-tetrahydrofolate synthase, cytoplasmic",Homo sapiens,Q9BVP5,True
CHEMBL1741207,Sentrin-specific protease 8,Homo sapiens,Q96QA4,True
CHEMBL1741213,Sentrin-specific protease 7,Homo sapiens,Q9HBT5,True
CHEMBL2334,Caspase-3,Homo sapiens,P42574,True
CHEMBL1741215,Sentrin-specific protease 6,Homo sapiens,Q9UJV5,True
CHEMBL312,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,P12527,True
CHEMBL221,Prostaglandin G/H synthase 1,Homo sapiens,Q5T7T8,True
CHEMBL5282,Cytochrome P450 2A6,Homo sapiens,Q9UK48,True
CHEMBL2378,M-phase inducer phosphatase 3,Homo sapiens,Q9H2F1,True
CHEMBL3775,M-phase inducer phosphatase 1,Homo sapiens,Q9H2F2,True
CHEMBL3729,Carbonic anhydrase 4,Homo sapiens,Q6FHI7,True
CHEMBL2085,Macrophage migration inhibitory factor,Homo sapiens,P14174,True
CHEMBL3356,Cytochrome P450 1A2,Homo sapiens,Q9UK49,True
CHEMBL3622,Cytochrome P450 2C19,Homo sapiens,Q9UCD4,True
CHEMBL289,Cytochrome P450 2D6,Homo sapiens,Q6NXU8,True
CHEMBL3623,NAD(P)H dehydrogenase [quinone] 1,Homo sapiens,Q86UK1,True
CHEMBL5465386,Metallo-beta-lactamase type 2,Bacteria,C7C422,True
CHEMBL5643,DnaC helicase,Staphylococcus aureus,Q9AQH7,True
CHEMBL253,Cannabinoid receptor 2,Homo sapiens,Q6NSY0,True
CHEMBL3571,Cannabinoid receptor 1,Rattus norvegicus,P20272,True
CHEMBL4234,17-beta-hydroxysteroid dehydrogenase type 3,Homo sapiens,Q5U0Q6,True
CHEMBL2366,Trypsin,Sus scrofa,P00761,True
CHEMBL1250413,CAAX prenyl protease 2,Saccharomyces cerevisiae S288c,Q03530,True
CHEMBL326,Alpha-1D adrenergic receptor,Rattus norvegicus,Q71UM4,True
CHEMBL4302,ATP-dependent translocase ABCB1,Homo sapiens,Q14812,True
CHEMBL3004,Multidrug resistance-associated protein 1,Homo sapiens,Q9UQA0,True
CHEMBL2622,Aldo-keto reductase family 1 member B1,Rattus norvegicus,P07943,True
CHEMBL1895,DNA topoisomerase 4 subunit A,Escherichia coli K-12,Q2M9I1,True
CHEMBL2424506,DNA gyrase subunit A,Staphylococcus aureus,P20831,True
CHEMBL1858,DNA gyrase subunit A,Escherichia coli K-12,P0AES4,True
CHEMBL275,"3',5'-cyclic-AMP phosphodiesterase 4B",Homo sapiens,Q5TEK6,True
CHEMBL5933,NAD-dependent protein deacetylase HST2,Saccharomyces cerevisiae S288c,P53686,True
CHEMBL4506,NAD-dependent protein deacetylase sirtuin-1,Homo sapiens,Q9Y6F0,True
CHEMBL2730,Protein-glutamine gamma-glutamyltransferase,Homo sapiens,Q9UH35,True
CHEMBL5620,Proteasome subunit beta type-8,Homo sapiens,Q96J48,True
CHEMBL3142,DNA-dependent protein kinase catalytic subunit,Homo sapiens,Q9UME3,True
CHEMBL205,Carbonic anhydrase 2,Homo sapiens,P00918,True
CHEMBL261,Carbonic anhydrase 1,Homo sapiens,P00915,True
CHEMBL4822,Beta-secretase 1,Homo sapiens,P56817,True
CHEMBL203,Epidermal growth factor receptor,Homo sapiens,P00533,True
CHEMBL1806,DNA topoisomerase 2-alpha,Homo sapiens,Q9UQP9,True
CHEMBL4117,Aminopeptidase N,Plasmodium falciparum FcB1/Columbia,Q8IEK1,True
CHEMBL5939,Endoplasmic reticulum aminopeptidase 1,Homo sapiens,Q9UKY2,True
CHEMBL1293286,Polyadenylate-binding protein 1,Homo sapiens,Q93004,True
CHEMBL1741179,DNA dC->dU-editing enzyme APOBEC-3A,Homo sapiens,Q9UH18,True
CHEMBL1741217,DNA dC->dU-editing enzyme APOBEC-3G,Homo sapiens,Q9HC16,True
CHEMBL1293251,ATP-dependent molecular chaperone HSP82,Candida albicans (strain WO-1) (Yeast),C4YTQ8,True
CHEMBL4531,Galectin-3,Homo sapiens,P17931,True
CHEMBL5474,Galectin-9,Homo sapiens,Q9NQ58,True
CHEMBL4915,Galectin-1,Homo sapiens,Q9UDK5,True
CHEMBL4523143,Galectin-7,Mus musculus,O54974,True
CHEMBL5475,Galectin-8,Homo sapiens,Q9UP34,True
CHEMBL218,Cannabinoid receptor 1,Homo sapiens,Q9UNN0,True
CHEMBL1075322,G-protein coupled receptor 55,Homo sapiens,Q9Y2T6,True
CHEMBL2424,Lactoylglutathione lyase,Homo sapiens,Q96J41,True
CHEMBL1795086,HSP90,Plasmodium falciparum 3D7,Q8IL32,True
CHEMBL3880,Heat shock protein HSP 90-alpha,Homo sapiens,P07900,True
CHEMBL2756,Amine oxidase [flavin-containing] B,Bos taurus,Q864W3,True
CHEMBL1908,"Cytochrome P450 11B1, mitochondrial",Homo sapiens,Q9UML2,True
CHEMBL2722,"Cytochrome P450 11B2, mitochondrial",Homo sapiens,Q16726,True
CHEMBL319,Alpha-1A adrenergic receptor,Rattus norvegicus,P43140,True
CHEMBL2010631,Atypical chemokine receptor 3,Homo sapiens,Q92986,True
CHEMBL274,C-C chemokine receptor type 5,Homo sapiens,Q9UPA4,True
CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,P08581,True
CHEMBL3254,Amine oxidase [flavin-containing] A,Bos taurus,Q0IIE7,True
CHEMBL1615382,Nuclear receptor coactivator 3,Homo sapiens,Q9Y6Q9,True
CHEMBL4218,Tegument protein VP16,Herpes simplex virus (type 1 / strain 17),Q09I86,True
CHEMBL214,5-hydroxytryptamine receptor 1A,Homo sapiens,Q6LAE7,True
CHEMBL224,5-hydroxytryptamine receptor 2A,Homo sapiens,Q5T8C0,True
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,P04626,True
CHEMBL2414,C-C chemokine receptor type 4,Homo sapiens,Q9ULY7,True
CHEMBL1075214,5'-nucleotidase,Rattus norvegicus,P21588,True
CHEMBL1930,Vitamin K epoxide reductase complex subunit 1,Homo sapiens,Q9BQB6,True
CHEMBL1293267,G-protein coupled receptor 35,Homo sapiens,Q9HC97,True
CHEMBL3712907,Transmembrane domain-containing protein TMIGD3,Homo sapiens,Q9BYZ1,True
CHEMBL251,Adenosine receptor A2a,Homo sapiens,P29274,True
CHEMBL219,D(4) dopamine receptor,Homo sapiens,Q8NGM5,True
CHEMBL234,D(3) dopamine receptor,Homo sapiens,Q4VBM8,True
CHEMBL217,D(2) dopamine receptor,Homo sapiens,Q9UPA9,True
CHEMBL4161,Urease,Canavalia ensiformis,P07374,True
CHEMBL204,Prothrombin,Homo sapiens,P00734,True
CHEMBL4523503,Chloride anion exchanger,Mus musculus,Q9WVC8,True
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Homo sapiens,Q9UNM5,True
CHEMBL2147,Serine/threonine-protein kinase pim-1,Homo sapiens,P11309,True
CHEMBL239,Peroxisome proliferator-activated receptor alpha,Homo sapiens,Q07869,True
CHEMBL1293240,Plectin,Homo sapiens,Q6S383,True
CHEMBL3229,Fatty-acid amide hydrolase 1,Rattus norvegicus,Q5BKA3,True
CHEMBL2007629,26S proteasome non-ATPase regulatory subunit 14,Homo sapiens,O00487,True
CHEMBL4471,Prothrombin,Bos taurus,Q3MHK7,True
CHEMBL213,Beta-1 adrenergic receptor,Homo sapiens,Q9UKG8,True
CHEMBL1871,Androgen receptor,Homo sapiens,P10275,True
CHEMBL3167,Serum paraoxonase/arylesterase 1,Homo sapiens,Q9UCB1,True
CHEMBL256,Adenosine receptor A3,Homo sapiens,Q9BYZ1,True
CHEMBL1795098,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,Homo sapiens,Q9GZU7,True
CHEMBL4247,ALK tyrosine kinase receptor,Homo sapiens,Q9UM73,True
CHEMBL1293246,Beta Lactamase,Pseudomonas aeruginosa,Q932Y6,True
CHEMBL1741165,Microphthalmia-associated transcription factor,Homo sapiens,Q9P2Y8,True
CHEMBL5567,Luciferin 4-monooxygenase,Photinus pyralis,Q27755,True
CHEMBL2146304,DNA damage-inducible transcript 3 protein,Mus musculus,Q91YW9,True
CHEMBL1741176,X-box-binding protein 1,Homo sapiens,Q96BD7,True
CHEMBL2186,Carbonic anhydrase 13,Mus musculus,Q9D6N1,True
CHEMBL3510,Carbonic anhydrase 14,Homo sapiens,Q9ULX7,True
CHEMBL5973,Carbonic anhydrase 15,Mus musculus,Q99N23,True
CHEMBL3025,Carbonic anhydrase 6,Homo sapiens,Q9UF03,True
CHEMBL2885,Carbonic anhydrase 3,Homo sapiens,P07451,True
CHEMBL3912,Carbonic anhydrase 13,Homo sapiens,Q8N1Q1,True
CHEMBL4984,Tumor necrosis factor,Mus musculus,Q91VF3,True
CHEMBL5469,Protein-tyrosine kinase 2-beta,Homo sapiens,Q14289,True
CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,Q00535,True
CHEMBL6175,Lysine-specific demethylase 4C,Homo sapiens,Q9H3R0,True
CHEMBL1287620,Fructose-bisphosphate aldolase,Mycobacterium tuberculosis,P9WQA3,True
CHEMBL280,Collagenase 3,Homo sapiens,Q6NWN6,True
CHEMBL3869,Matrix metalloproteinase-14,Homo sapiens,Q92678,True
CHEMBL333,72 kDa type IV collagenase,Homo sapiens,Q9UCJ8,True
CHEMBL215,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,Q5JQ14,True
CHEMBL3706,Disintegrin and metalloproteinase domain-containing protein 17,Homo sapiens,P78536,True
CHEMBL1293200,Zn finger protein,Nicotiana tabacum,Q43570,True
CHEMBL2637,Mitogen-activated protein kinase 10,Homo sapiens,Q49AP1,True
CHEMBL2821,Coagulation factor XII,Homo sapiens,P78339,True
CHEMBL3335,Cytochrome P450 2B1,Rattus norvegicus,Q64584,True
CHEMBL1743542,Cytochrome P450 2B4,Oryctolagus cuniculus,P00178,True
CHEMBL4729,Cytochrome P450 2B6,Homo sapiens,Q9UK46,True
CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,P0DTD1,True
CHEMBL3019,Cytochrome P450 3A5,Homo sapiens,Q9HB56,True
CHEMBL5281,Cytochrome P450 2E1,Homo sapiens,Q9UK47,True
CHEMBL1293311,Envelope glycoprotein gp160,Human immunodeficiency virus 1,Q6QLK5,True
CHEMBL1741189,FAD-linked sulfhydryl oxidase ALR,Homo sapiens,Q9UK40,True
CHEMBL3318,Tyrosinase,Agaricus bisporus,Q12543,True
CHEMBL1293307,3C-like protease,Infectious bronchitis virus,Q3Y5H1,True
CHEMBL3212,Vitamin K epoxide reductase complex subunit 1,Bos taurus,Q6B4J2,True
CHEMBL3943,Histamine H1 receptor,Cavia porcellus,P31389,True
CHEMBL3138,D(3) dopamine receptor,Rattus norvegicus,P70647,True
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens,P12931,True
CHEMBL4633,Potassium voltage-gated channel subfamily A member 3,Homo sapiens,Q6P2D3,True
CHEMBL4306,Potassium voltage-gated channel subfamily A member 5,Homo sapiens,Q9UDA4,True
CHEMBL5979,"Alkaline phosphatase, tissue-nonspecific isozyme",Homo sapiens,Q9UBK0,True
CHEMBL4879518,Microtubule-associated proteins 1A/1B light chain 3A,Homo sapiens,Q9H492,True
CHEMBL4879514,Microtubule-associated proteins 1A/1B light chain 3B,Homo sapiens,Q9GZQ8,True
CHEMBL5508,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Rattus norvegicus,Q63470,True
CHEMBL3072,Androgen receptor,Rattus norvegicus,Q63049,True
CHEMBL4088,DNA topoisomerase 4 subunit A,Staphylococcus aureus,P95683,True
CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,Homo sapiens,Q99657,True
CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,Q72874,True
CHEMBL226,Adenosine receptor A1,Homo sapiens,Q8TAM8,True
CHEMBL4662,Proteasome Macropain subunit MB1,Homo sapiens,Q9TNN9,True
CHEMBL2231,Cytochrome P450 1A1,Homo sapiens,Q53G18,True
CHEMBL2176851,Replicative DNA helicase,Bacillus anthracis,Q81JI8,True
CHEMBL4768,Acetylcholinesterase,Bos taurus,Q08D79,True
CHEMBL1972,"Glutamate receptor ionotropic, NMDA 2A",Homo sapiens,Q17RZ6,True
CHEMBL4109,"Glutamate receptor ionotropic, NMDA 2C",Homo sapiens,Q14957,True
CHEMBL1904,"Glutamate receptor ionotropic, NMDA 2B",Homo sapiens,Q9UM56,True
CHEMBL2284,Glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens,Q53X65,True
CHEMBL5131,Trypanothione reductase,Trypanosoma cruzi,P28593,True
CHEMBL4878,Cytochrome P450 1B1,Homo sapiens,Q9H316,True
CHEMBL4093,Oxysterols receptor LXR-beta,Homo sapiens,Q5I0Y1,True
CHEMBL6136,Lysine-specific histone demethylase 1A,Homo sapiens,O60341,True
CHEMBL1935,"Aldehyde dehydrogenase, mitochondrial",Homo sapiens,Q6IV71,True
CHEMBL3579,Retinaldehyde dehydrogenase 3,Homo sapiens,Q6NT64,True
CHEMBL3251,Nuclear factor NF-kappa-B p105 subunit,Homo sapiens,Q9NZC0,True
CHEMBL4374,Photoreceptor-specific nuclear receptor,Homo sapiens,Q9Y5X4,True
CHEMBL3564,"DNA polymerase I, thermostable",Thermus aquaticus,P19821,True
CHEMBL2074,Maltase-glucoamylase,Homo sapiens,Q86UM5,True
CHEMBL5957,5'-nucleotidase,Homo sapiens,Q5W116,True
CHEMBL5071,Prostaglandin D2 receptor 2,Homo sapiens,Q9Y5Y4,True
CHEMBL6174,Cytochrome c oxidase subunit 2,Homo sapiens,Q37526,True
CHEMBL5313,Heat shock factor protein 1,Mus musculus,P38532,True
CHEMBL5573,Intestinal-type alkaline phosphatase,Homo sapiens,Q9UCL2,True
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,Q59EE2,True
CHEMBL3081,Aldo-keto reductase family 1 member B1,Bos taurus,Q5E962,True
CHEMBL1075108,Solute carrier family 12 member 5,Rattus norvegicus,Q63633,True
CHEMBL1163125,Bromodomain-containing protein 4,Homo sapiens,O60885,True
CHEMBL3563,Cruzipain,Trypanosoma cruzi,P25779,True
CHEMBL2366517,Protease,Human immunodeficiency virus 1,Q9YQ12,True
CHEMBL1795151,Bis(5'-adenosyl)-triphosphatase,Homo sapiens,Q6IU12,True
CHEMBL335,Tyrosine-protein phosphatase non-receptor type 1,Homo sapiens,P18031,True
CHEMBL5407,Serine/threonine-protein kinase pim-3,Homo sapiens,Q86V86,True
CHEMBL4523,Serine/threonine-protein kinase pim-2,Homo sapiens,Q9P1W9,True
CHEMBL2384898,N-arachidonyl glycine receptor,Homo sapiens,Q9H2L2,True
CHEMBL5444,Tubulin beta-5 chain,Homo sapiens,Q9CY33,True
CHEMBL5485,D-amino-acid oxidase,Homo sapiens,Q8N6R2,True
CHEMBL1973,Tyrosinase,Homo sapiens,Q9BZX1,True
CHEMBL1900,Aldo-keto reductase family 1 member B1,Homo sapiens,P15121,True
CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,Q9BV08,True
CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,Homo sapiens,Q9H3P0,True
CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1,Homo sapiens,Q07820,True
CHEMBL4018,Neuropeptide Y receptor type 2,Homo sapiens,Q9UE67,True
CHEMBL4777,Neuropeptide Y receptor type 1,Homo sapiens,P25929,True
CHEMBL1615387,Nuclear receptor coactivator 1,Homo sapiens,Q15788,True
CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,Homo sapiens,O75327,True
CHEMBL2443,Kallikrein-7,Homo sapiens,Q8NFV7,True
CHEMBL5983,Aldo-keto reductase family 1 member B10,Homo sapiens,Q8IWZ1,True
CHEMBL2176863,Uncharacterized protein,Sus scrofa,I3LIR5,True
CHEMBL1275219,Glucosylceramidase,Bos taurus,Q2KHZ8,True
CHEMBL3411,CAAX prenyl protease 2,Homo sapiens,Q9Y256,True
CHEMBL3720,ATP-citrate synthase,Homo sapiens,Q9BRL0,True
CHEMBL2061,Retinoic acid receptor RXR-alpha,Homo sapiens,P19793,True
CHEMBL1870,Retinoic acid receptor RXR-beta,Homo sapiens,Q5STQ1,True
CHEMBL2004,Retinoic acid receptor RXR-gamma,Homo sapiens,Q6IBU7,True
CHEMBL1293274,Eukaryotic translation initiation factor 4H,Homo sapiens,Q15056,True
CHEMBL4203,Dual specificity protein kinase CLK4,Homo sapiens,Q9HAZ1,True
CHEMBL3629,Casein kinase II subunit alpha,Homo sapiens,P68400,True
CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,Homo sapiens,Q9NST7,True
CHEMBL1293228,Streptokinase A,Streptococcus pyogenes serotype M1,Q48WH3,True
CHEMBL1293266,Nucleotide-binding oligomerization domain-containing protein 2,Homo sapiens,Q9HC29,True
CHEMBL3317339,Polymerase basic protein 2,Influenza A virus (strain A/Puerto Rico/8/1934 H1N1),Q8JUU8,True
CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,Q95325,True
CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,Q4VBL4,True
CHEMBL3864,Tyrosine-protein phosphatase non-receptor type 11,Homo sapiens,Q06124,True
CHEMBL2007628,Tyrosine-protein phosphatase non-receptor type 5,Homo sapiens,Q8NDP8,True
CHEMBL4461,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",Homo sapiens,Q9Y6E8,True
CHEMBL1741200,Hexokinase HKDC1,Homo sapiens,Q9H5Y9,True
CHEMBL2688,Hexokinase-1,Homo sapiens,Q9NNZ5,True
CHEMBL1741161,Acyl-homoserine lactone acylase PvdQ,Pseudomonas aeruginosa (strain LESB58),Q9I194,True
CHEMBL1795089,Latent membrane protein 1,Human herpesvirus 4 (strain B95-8),Q777A4,True
CHEMBL4123,Neurotensin receptor type 1,Homo sapiens,Q9H4T5,True
CHEMBL281,Carbonic anhydrase 4,Bos taurus,Q95323,True
CHEMBL3108645,Histone-lysine N-methyltransferase NSD2,Homo sapiens,Q9UPR2,True
CHEMBL3308,Caspase-6,Homo sapiens,Q9BQE7,True
CHEMBL1293297,Bifunctional protein GlmU,Mycobacterium tuberculosis,Q7D8Z8,True
CHEMBL2955,Sphingosine 1-phosphate receptor 2,Homo sapiens,Q86UN8,True
CHEMBL258,Tyrosine-protein kinase Lck,Homo sapiens,P06239,True
CHEMBL1841,Tyrosine-protein kinase Fyn,Homo sapiens,Q8N5D7,True
CHEMBL1849,Enoyl-[acyl-carrier-protein] reductase [NADH],Mycobacterium tuberculosis,P9WGR1,True
CHEMBL3863,Serine/threonine-protein kinase D1,Homo sapiens,Q15139,True
CHEMBL1293319,Zinc finger protein mex-5,Caenorhabditis elegans,Q9XUB2,True
CHEMBL4477,Metabotropic glutamate receptor 1,Rattus norvegicus,P23385,True
CHEMBL1075189,Pyruvate kinase PKM,Homo sapiens,Q9UPF2,True
CHEMBL4102,Prostaglandin G/H synthase 2,Ovis aries,P79208,True
CHEMBL3658,Tubulin alpha chain,Sus scrofa,P02550,True
CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens,Q8N5L4,True
CHEMBL4739844,Immunoglobulin lambda variable 6-57,Homo sapiens,P06319,True
CHEMBL4295618,Enoyl-(Acyl-carrier-protein) reductase II,Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R),Q8E1K8,True
CHEMBL6003,Testis-specific serine/threonine-protein kinase 1,Homo sapiens,Q9BXA7,True
CHEMBL1787,3-oxo-5-alpha-steroid 4-dehydrogenase 1,Homo sapiens,Q9UP37,True
CHEMBL5661,Exportin-1,Homo sapiens,Q99433,True
CHEMBL3230,Sphingosine 1-phosphate receptor 4,Homo sapiens,O95977,True
CHEMBL4333,Sphingosine 1-phosphate receptor 1,Homo sapiens,Q9NYN8,True
CHEMBL4105838,DCN1-like protein 1,Homo sapiens,Q9HCT3,True
CHEMBL4343,DNA polymerase beta,Rattus norvegicus,Q4G081,True
CHEMBL4523223,Chloride anion exchanger,Homo sapiens,P40879,True
CHEMBL3253,Albumin,Homo sapiens,P02768,True
CHEMBL3112384,Retinal dehydrogenase 2,Homo sapiens,Q9UFY0,True
CHEMBL4881,"Aldehyde dehydrogenase X, mitochondrial",Homo sapiens,Q9BV45,True
CHEMBL3305,Sex hormone-binding globulin,Homo sapiens,Q6ISD2,True
CHEMBL2362978,DNA repair protein RAD52 homolog,Homo sapiens,Q9Y5T9,True
CHEMBL237,Kappa-type opioid receptor,Homo sapiens,Q499G4,True
CHEMBL2034,Glucocorticoid receptor,Homo sapiens,Q6N0A4,True
CHEMBL1741163,ORF 73,Human herpesvirus 8,O40947,True
CHEMBL4450,UDP-galactopyranose mutase,Mycobacterium tuberculosis,Q7D4U3,True
CHEMBL2808,Oxysterols receptor LXR-alpha,Homo sapiens,Q96H87,True
CHEMBL5533,Transcription factor p65,Homo sapiens,Q04206,True
CHEMBL1293260,Beta-lactamase,Salmonella choleraesuis (strain SC-B67),Q5J463,True
CHEMBL1293244,Beta-lactamase,Pseudomonas aeruginosa,Q79MP6,True
CHEMBL4360,Monocarboxylate transporter 1,Homo sapiens,Q9NSJ9,True
CHEMBL2283,Carbonic anhydrase 2,Bos taurus,Q865Y7,True
CHEMBL4586,Seed linoleate 13S-lipoxygenase-1,Glycine max,P08170,True
CHEMBL4804,M-phase inducer phosphatase 2,Homo sapiens,Q9BRA6,True
CHEMBL3199,Acetylcholinesterase,Rattus norvegicus,P37136,True
CHEMBL3403,Butyrylcholinesterase,Rattus norvegicus,Q9JKC1,True
CHEMBL1293293,Neuropeptides B/W receptor type 1,Homo sapiens,Q6NTC7,True
CHEMBL1293239,Bcl-2-related protein A1,Mus musculus,Q07440,True
CHEMBL1795093,Apoptotic protease-activating factor 1,Homo sapiens,Q9UNC9,True
CHEMBL6089,Ubiquitin-conjugating enzyme E2 N,Homo sapiens,Q53Y81,True
CHEMBL4698,"Malonyl-CoA decarboxylase, mitochondrial",Homo sapiens,Q9Y3F2,True
CHEMBL284,Dipeptidyl peptidase 4,Homo sapiens,Q53TN1,True
CHEMBL229,Alpha-1A adrenergic receptor,Homo sapiens,Q9UD67,True
CHEMBL1741192,Replicative DNA helicase DnaB,Mycobacterium tuberculosis,P9WMR3,True
CHEMBL1741171,Protein RecA,Mycobacterium tuberculosis,P9WHJ3,True
CHEMBL3925,17-beta-hydroxysteroid-dehydrogenase,Cochliobolus lunatus,O93874,True
CHEMBL1293229,Nuclear receptor subfamily 4immunitygroup A member 1,Homo sapiens,Q6IBU8,True
CHEMBL3151,Intestinal-type alkaline phosphatase,Mus musculus,P24822,True
CHEMBL3402,"Alkaline phosphatase, germ cell type",Homo sapiens,Q96CM1,True
