target_chembl_id,target_name,target_organism,organism_group,uniprot_accession,target_family,record_count,unique_compounds,endpoint_types,dominant_endpoint,endpoint_homogeneity,doi_count,year_min,year_max,pchembl_min,pchembl_max,pchembl_range
CHEMBL220,Acetylcholinesterase,Homo sapiens,Human,Q9BXP7,Cholinesterases,332,289,IC50; Ki,IC50,0.8975903614457831,45,2001,2024,4.03,9.63,5.6000000000000005
CHEMBL5763,Cholinesterase,Equus caballus,Non-human,P81908,Cholinesterases,289,286,IC50,IC50,1.0,33,2008,2024,4.04,9.32,5.28
CHEMBL1914,Cholinesterase,Homo sapiens,Human,P06276,Cholinesterases,132,127,IC50; Ki,IC50,0.8636363636363636,26,2003,2024,4.28,9.57,5.29
CHEMBL4768,Acetylcholinesterase,Bos taurus,Non-human,Q08D79,Cholinesterases,29,28,IC50; Ki,IC50,0.9655172413793104,3,2008,2013,4.18,9.0,4.82
CHEMBL3198,Acetylcholinesterase,Mus musculus,Non-human,P21836,Cholinesterases,25,24,IC50,IC50,1.0,3,2014,2022,4.04,6.4,2.3600000000000003
CHEMBL3199,Acetylcholinesterase,Rattus norvegicus,Non-human,P37136,Cholinesterases,7,5,IC50,IC50,1.0,3,1998,2017,6.44,8.82,2.38
CHEMBL3403,Butyrylcholinesterase,Rattus norvegicus,Non-human,Q9JKC1,Cholinesterases,2,2,IC50,IC50,1.0,1,1998,1998,7.19,8.44,1.2499999999999991
CHEMBL3587,Dual specificity mitogen-activated protein kinase kinase 1,Homo sapiens,Human,Q02750,Kinases,64,55,IC50; Kd,IC50,0.953125,10,2005,2024,3.56,8.3,4.74
CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,Human,P04049,Kinases,48,43,IC50,IC50,1.0,4,2013,2022,4.57,8.4,3.83
CHEMBL5508,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Rattus norvegicus,Non-human,Q63470,Kinases,35,35,AC50; IC50,AC50,0.6,1,2012,2012,4.58,7.17,2.59
CHEMBL4005,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Homo sapiens,Human,P42336,Kinases,30,30,IC50,IC50,1.0,5,2019,2024,4.28,8.68,4.3999999999999995
CHEMBL1293228,Streptokinase A,Streptococcus pyogenes serotype M1,Non-human,Q48WH3,Kinases,37,27,EC50,EC50,1.0,0,,,4.29,6.95,2.66
CHEMBL3130,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Homo sapiens,Human,Q5SR49,Kinases,27,27,IC50,IC50,1.0,3,2009,2019,4.17,6.92,2.75
CHEMBL3145,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",Homo sapiens,Human,Q24JU2,Kinases,26,26,IC50,IC50,1.0,3,2009,2019,4.17,6.92,2.75
CHEMBL3267,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",Homo sapiens,Human,P48736,Kinases,26,26,IC50,IC50,1.0,2,2019,2019,4.37,7.09,2.7199999999999998
CHEMBL203,Epidermal growth factor receptor,Homo sapiens,Human,P00533,Kinases,33,25,IC50,IC50,1.0,8,2007,2024,5.12,8.05,2.9300000000000006
CHEMBL1163101,Serine/threonine-protein kinase/endoribonuclease IRE1,Homo sapiens,Human,Q59EE2,Kinases,36,24,EC50; IC50; Kd,IC50,0.8888888888888888,2,2014,2019,4.79,7.33,2.54
CHEMBL3142,DNA-dependent protein kinase catalytic subunit,Homo sapiens,Human,Q9UME3,Kinases,24,19,IC50,IC50,1.0,3,2005,2015,4.95,6.22,1.2699999999999996
CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,Human,P35968,Kinases,21,17,AC50; IC50,IC50,0.9523809523809523,9,2012,2024,4.47,7.49,3.0200000000000005
CHEMBL5145,Serine/threonine-protein kinase B-raf,Homo sapiens,Human,P15056,Kinases,18,16,IC50; Kd,IC50,0.9444444444444444,5,2012,2022,4.47,8.15,3.6800000000000006
CHEMBL1824,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,Human,P04626,Kinases,11,11,IC50,IC50,1.0,2,2012,2024,5.45,6.89,1.4399999999999995
CHEMBL2147,Serine/threonine-protein kinase pim-1,Homo sapiens,Human,P11309,Kinases,12,10,IC50; Ki,IC50,0.9166666666666666,5,2012,2024,4.59,7.26,2.67
CHEMBL2292,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,Homo sapiens,Human,Q9UNM5,Kinases,13,9,IC50; Ki,IC50,0.9230769230769231,5,2013,2022,4.82,9.52,4.699999999999999
CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens,Human,P12931,Kinases,9,8,IC50,IC50,1.0,6,1994,2015,4.05,7.05,3.0
CHEMBL5469,Protein-tyrosine kinase 2-beta,Homo sapiens,Human,Q14289,Kinases,8,7,IC50,IC50,1.0,0,,,4.9,5.88,0.9799999999999995
CHEMBL258,Tyrosine-protein kinase Lck,Homo sapiens,Human,P06239,Kinases,7,6,IC50; Kd,IC50,0.5714285714285714,3,1999,2002,4.66,7.46,2.8
CHEMBL3629,Casein kinase II subunit alpha,Homo sapiens,Human,P68400,Kinases,7,6,IC50; Ki,Ki,0.7142857142857143,3,2009,2019,5.1,8.15,3.0500000000000007
CHEMBL262,Glycogen synthase kinase-3 beta,Homo sapiens,Human,P49841,Kinases,6,6,IC50,IC50,1.0,3,2006,2023,5.12,6.1,0.9799999999999995
CHEMBL2842,Serine/threonine-protein kinase mTOR,Homo sapiens,Human,Q9Y4I3,Kinases,6,6,IC50,IC50,1.0,2,2014,2019,5.03,5.13,0.09999999999999964
CHEMBL3717,Hepatocyte growth factor receptor,Homo sapiens,Human,P08581,Kinases,5,5,IC50,IC50,1.0,3,2012,2018,4.0,7.52,3.5199999999999996
CHEMBL1741200,Hexokinase HKDC1,Homo sapiens,Human,Q9H5Y9,Kinases,5,4,EC50; IC50,EC50,0.6,0,,,4.26,4.87,0.6100000000000003
CHEMBL2828,Casein kinase I isoform delta,Homo sapiens,Human,Q9BTN5,Kinases,4,4,IC50; Ki,IC50,0.75,1,2023,2023,5.2,5.82,0.6200000000000001
CHEMBL1075126,Pyruvate kinase PKLR,Homo sapiens,Human,P30613,Kinases,3,3,IC50,IC50,1.0,1,2024,2024,6.39,7.55,1.1600000000000001
CHEMBL2973,Rho-associated protein kinase 2,Homo sapiens,Human,Q9UQN5,Kinases,3,3,IC50,IC50,1.0,0,2018,2022,6.3,7.04,0.7400000000000002
CHEMBL4247,ALK tyrosine kinase receptor,Homo sapiens,Human,Q9UM73,Kinases,4,2,IC50,IC50,1.0,1,2024,2024,6.23,6.57,0.33999999999999986
CHEMBL1841,Tyrosine-protein kinase Fyn,Homo sapiens,Human,Q8N5D7,Kinases,2,2,IC50; Kd,IC50,0.5,2,1999,2002,6.82,7.0,0.17999999999999972
CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens,Human,Q8N5L4,Kinases,2,2,IC50,IC50,1.0,2,2012,2021,5.89,7.7,1.8100000000000005
CHEMBL1991,Inhibitor of nuclear factor kappa-B kinase subunit beta,Homo sapiens,Human,O75327,Kinases,2,2,IC50,IC50,1.0,2,2013,2020,5.01,5.7,0.6900000000000004
CHEMBL2637,Mitogen-activated protein kinase 10,Homo sapiens,Human,Q49AP1,Kinases,2,2,IC50,IC50,1.0,0,,,4.26,4.49,0.23000000000000043
CHEMBL2688,Hexokinase-1,Homo sapiens,Human,Q9NNZ5,Kinases,2,2,EC50,EC50,1.0,0,,,4.43,4.66,0.23000000000000043
CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,Human,P06493,Kinases,2,2,IC50; Ki,Ki,0.5,2,2020,2024,5.34,9.46,4.120000000000001
CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,Human,Q00535,Kinases,2,2,IC50,IC50,1.0,1,2022,2022,5.57,6.14,0.5699999999999994
CHEMBL5407,Serine/threonine-protein kinase pim-3,Homo sapiens,Human,Q86V86,Kinases,2,2,IC50; Ki,IC50,0.5,1,2023,2023,5.8,6.47,0.6699999999999999
CHEMBL1781862,Calmodulin-domain protein kinase 1,Toxoplasma gondii,Non-human,Q9BJF5,Kinases,3,1,IC50,IC50,1.0,1,2014,2018,7.5,7.5,0.0
CHEMBL2331053,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",Homo sapiens,Human,Q5VX19,Kinases,2,1,IC50; Ki,Ki,0.5,1,2020,2020,6.74,7.03,0.29000000000000004
CHEMBL3268,Phosphatidylinositol 4-kinase beta,Homo sapiens,Human,Q9UBF8,Kinases,2,1,IC50; Kd,Kd,0.5,1,2017,2017,7.12,7.68,0.5599999999999996
CHEMBL6144,G protein-coupled receptor kinase 6,Homo sapiens,Human,Q13652,Kinases,2,1,IC50,IC50,1.0,0,2014,2019,5.14,5.14,0.0
CHEMBL1075189,Pyruvate kinase PKM,Homo sapiens,Human,Q9UPF2,Kinases,1,1,IC50,IC50,1.0,0,2014,2014,4.16,4.16,0.0
CHEMBL1075282,Dual specificity protein kinase CLK3,Mus musculus,Non-human,Q8C1V1,Kinases,1,1,IC50,IC50,1.0,1,2013,2013,6.82,6.82,0.0
CHEMBL1772932,Mitotic checkpoint serine/threonine-protein kinase BUB1,Homo sapiens,Human,Q53QE4,Kinases,1,1,IC50,IC50,1.0,0,2019,2019,7.54,7.54,0.0
CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens,Human,Q12954,Kinases,1,1,IC50,IC50,1.0,1,2007,2007,4.71,4.71,0.0
CHEMBL1955,Vascular endothelial growth factor receptor 3,Homo sapiens,Human,Q86W08,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.81,5.81,0.0
CHEMBL2185,Aurora kinase B,Homo sapiens,Human,Q9UQ46,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.6,5.6,0.0
CHEMBL2251,Phosphatidylinositol 4-kinase type 2-alpha,Homo sapiens,Human,Q9NSG8,Kinases,1,1,IC50,IC50,1.0,1,2022,2022,5.84,5.84,0.0
CHEMBL2499,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",Mus musculus,Non-human,Q0VGQ5,Kinases,1,1,IC50,IC50,1.0,1,2009,2009,5.52,5.52,0.0
CHEMBL2695,Focal adhesion kinase 1,Homo sapiens,Human,Q9UD85,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.51,5.51,0.0
CHEMBL2964,Dual specificity mitogen-activated protein kinase kinase 2,Homo sapiens,Human,P36507,Kinases,1,1,Kd,Kd,1.0,1,2017,2017,7.43,7.43,0.0
CHEMBL2971,Tyrosine-protein kinase JAK2,Homo sapiens,Human,O60674,Kinases,1,1,IC50,IC50,1.0,0,,,5.07,5.07,0.0
CHEMBL3024,Serine/threonine-protein kinase PLK1,Homo sapiens,Human,P53350,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.48,5.48,0.0
CHEMBL3116,Cyclin-dependent kinase 9,Homo sapiens,Human,Q96TF1,Kinases,1,1,IC50,IC50,1.0,1,2024,2024,6.42,6.42,0.0
CHEMBL3616,Protein kinase C eta type,Homo sapiens,Human,Q8NE03,Kinases,1,1,Kd,Kd,1.0,1,2010,2010,6.19,6.19,0.0
CHEMBL3788,Serine/threonine-protein kinase PLK4,Homo sapiens,Human,Q9UDE2,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.53,5.53,0.0
CHEMBL3861,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Homo sapiens,Human,Q9BS05,Kinases,1,1,IC50,IC50,1.0,1,2017,2017,5.28,5.28,0.0
CHEMBL3863,Serine/threonine-protein kinase D1,Homo sapiens,Human,Q15139,Kinases,1,1,IC50,IC50,1.0,1,2023,2023,5.63,5.63,0.0
CHEMBL4040,Mitogen-activated protein kinase 1,Homo sapiens,Human,P28482,Kinases,1,1,IC50,IC50,1.0,0,,,5.35,5.35,0.0
CHEMBL4203,Dual specificity protein kinase CLK4,Homo sapiens,Human,Q9HAZ1,Kinases,1,1,Ki,Ki,1.0,0,,,5.9,5.9,0.0
CHEMBL4225,Dual specificity protein kinase CLK2,Homo sapiens,Human,Q96CQ0,Kinases,1,1,IC50,IC50,1.0,1,2023,2023,6.15,6.15,0.0
CHEMBL4282,RAC-alpha serine/threonine-protein kinase,Homo sapiens,Human,P31749,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.48,5.48,0.0
CHEMBL4362,Tyrosine-protein kinase Fgr,Rattus norvegicus,Non-human,Q6P6U0,Kinases,1,1,IC50,IC50,1.0,1,2006,2006,5.03,5.03,0.0
CHEMBL4363,Tyrosine-protein kinase Lyn,Rattus norvegicus,Non-human,Q63320,Kinases,1,1,IC50,IC50,1.0,1,2006,2006,5.54,5.54,0.0
CHEMBL4364,Tyrosine-protein kinase SYK,Rattus norvegicus,Non-human,Q64725,Kinases,1,1,IC50,IC50,1.0,1,2006,2006,5.37,5.37,0.0
CHEMBL4394,Sphingosine kinase 1,Homo sapiens,Human,Q9NYL3,Kinases,1,1,IC50,IC50,1.0,1,2021,2021,6.13,6.13,0.0
CHEMBL4523,Serine/threonine-protein kinase pim-2,Homo sapiens,Human,Q9P1W9,Kinases,1,1,IC50,IC50,1.0,1,2023,2023,6.47,6.47,0.0
CHEMBL4722,Aurora kinase A,Homo sapiens,Human,O14965,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.61,5.61,0.0
CHEMBL4766,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Homo sapiens,Human,Q308M4,Kinases,1,1,IC50,IC50,1.0,1,2017,2017,5.53,5.53,0.0
CHEMBL4899,Mitogen-activated protein kinase kinase kinase 8,Homo sapiens,Human,Q9HC81,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,5.62,5.62,0.0
CHEMBL4948,Dual specificity mitogen-activated protein kinase kinase 5,Homo sapiens,Human,Q92962,Kinases,1,1,Kd,Kd,1.0,1,2017,2017,5.7,5.7,0.0
CHEMBL5784,NUAK family SNF1-like kinase 1,Homo sapiens,Human,Q96KA8,Kinases,1,1,IC50,IC50,1.0,1,2012,2012,6.29,6.29,0.0
CHEMBL6003,Testis-specific serine/threonine-protein kinase 1,Homo sapiens,Human,Q9BXA7,Kinases,1,1,IC50,IC50,1.0,1,2009,2009,4.41,4.41,0.0
CHEMBL6166,Mitogen-activated protein kinase kinase kinase kinase 4,Homo sapiens,Human,Q9NST7,Kinases,1,1,Ki,Ki,1.0,0,,,5.3,5.3,0.0
CHEMBL206,Estrogen receptor,Homo sapiens,Human,P03372,Nuclear receptors,180,133,EC50; IC50,IC50,0.9666666666666667,10,2004,2022,4.3,9.72,5.420000000000001
CHEMBL208,Progesterone receptor,Homo sapiens,Human,Q9UPF7,Nuclear receptors,88,74,AC50; IC50,IC50,0.9886363636363636,5,1999,2023,4.3,7.62,3.3200000000000003
CHEMBL242,Estrogen receptor beta,Homo sapiens,Human,Q9UQK9,Nuclear receptors,82,72,EC50; IC50,IC50,0.9024390243902439,6,2004,2022,4.75,8.94,4.1899999999999995
CHEMBL1871,Androgen receptor,Homo sapiens,Human,P10275,Nuclear receptors,102,57,EC50; IC50; Ki,IC50,0.5980392156862745,9,1999,2022,4.3,9.7,5.3999999999999995
CHEMBL3072,Androgen receptor,Rattus norvegicus,Non-human,Q63049,Nuclear receptors,21,21,IC50; Ki,IC50,0.6190476190476191,2,2005,2019,5.41,7.04,1.63
CHEMBL4093,Oxysterols receptor LXR-beta,Homo sapiens,Human,Q5I0Y1,Nuclear receptors,21,18,EC50,EC50,1.0,3,2015,2016,5.1,6.02,0.9199999999999999
CHEMBL235,Peroxisome proliferator-activated receptor gamma,Homo sapiens,Human,P37231,Nuclear receptors,17,15,EC50; Ki,EC50,0.9411764705882353,3,2008,2023,4.25,9.0,4.75
CHEMBL239,Peroxisome proliferator-activated receptor alpha,Homo sapiens,Human,Q07869,Nuclear receptors,17,15,EC50; IC50,EC50,0.7647058823529411,3,2006,2017,4.9,9.0,4.1
CHEMBL2034,Glucocorticoid receptor,Homo sapiens,Human,Q6N0A4,Nuclear receptors,8,7,AC50; IC50,IC50,0.875,4,1999,2023,4.7,6.47,1.7699999999999996
CHEMBL1615382,Nuclear receptor coactivator 3,Homo sapiens,Human,Q9Y6Q9,Nuclear receptors,7,7,IC50,IC50,1.0,0,,,4.64,5.44,0.8000000000000007
CHEMBL2808,Oxysterols receptor LXR-alpha,Homo sapiens,Human,Q96H87,Nuclear receptors,7,6,EC50,EC50,1.0,2,2015,2015,4.96,5.82,0.8600000000000003
CHEMBL4374,Photoreceptor-specific nuclear receptor,Homo sapiens,Human,Q9Y5X4,Nuclear receptors,6,6,IC50,IC50,1.0,0,,,5.12,5.64,0.5199999999999996
CHEMBL1293229,Nuclear receptor subfamily 4immunitygroup A member 1,Homo sapiens,Human,Q6IBU8,Nuclear receptors,5,5,IC50,IC50,1.0,0,,,4.21,6.31,2.0999999999999996
CHEMBL1615387,Nuclear receptor coactivator 1,Homo sapiens,Human,Q15788,Nuclear receptors,5,5,IC50,IC50,1.0,0,,,4.66,5.05,0.3899999999999997
CHEMBL2061,Retinoic acid receptor RXR-alpha,Homo sapiens,Human,P19793,Nuclear receptors,12,4,EC50; IC50; Kd; Ki,Kd,0.5833333333333334,5,2014,2023,4.68,7.66,2.9800000000000004
CHEMBL1994,Mineralocorticoid receptor,Homo sapiens,Human,Q96KQ9,Nuclear receptors,4,4,IC50,IC50,1.0,1,1999,1999,5.52,5.82,0.3000000000000007
CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,Homo sapiens,Human,Q9UNW4,Nuclear receptors,4,4,AC50; EC50; IC50,EC50,0.5,2,2014,2023,4.05,5.1,1.0499999999999998
CHEMBL3201,Aryl hydrocarbon receptor,Homo sapiens,Human,Q13804,Nuclear receptors,2,2,EC50,EC50,1.0,0,,,5.47,5.49,0.020000000000000462
CHEMBL3979,Peroxisome proliferator-activated receptor delta,Homo sapiens,Human,Q9BUD4,Nuclear receptors,2,2,IC50,IC50,1.0,1,2006,2006,5.49,6.87,1.38
CHEMBL1741186,Nuclear receptor ROR-gamma,Homo sapiens,Human,P51449,Nuclear receptors,1,1,EC50,EC50,1.0,0,2017,2017,5.8,5.8,0.0
CHEMBL1870,Retinoic acid receptor RXR-beta,Homo sapiens,Human,Q5STQ1,Nuclear receptors,1,1,EC50,EC50,1.0,1,2018,2018,4.38,4.38,0.0
CHEMBL2004,Retinoic acid receptor RXR-gamma,Homo sapiens,Human,Q6IBU7,Nuclear receptors,1,1,EC50,EC50,1.0,1,2018,2018,4.29,4.29,0.0
CHEMBL5872,G-protein coupled estrogen receptor 1,Homo sapiens,Human,Q99981,Nuclear receptors,1,1,IC50,IC50,1.0,0,2018,2018,8.61,8.61,0.0
CHEMBL253,Cannabinoid receptor 2,Homo sapiens,Human,Q6NSY0,G protein-coupled receptors,120,86,EC50; IC50; Ki,Ki,0.7416666666666667,8,1997,2021,4.88,10.06,5.180000000000001
CHEMBL214,5-hydroxytryptamine receptor 1A,Homo sapiens,Human,Q6LAE7,G protein-coupled receptors,82,74,IC50; Ki,Ki,0.9024390243902439,7,2010,2021,5.46,9.52,4.06
CHEMBL273,5-hydroxytryptamine receptor 1A,Rattus norvegicus,Non-human,P19327,G protein-coupled receptors,71,66,EC50; IC50; Ki,Ki,0.9154929577464789,8,1998,2018,5.51,10.92,5.41
CHEMBL322,5-hydroxytryptamine receptor 2A,Rattus norvegicus,Non-human,P14842,G protein-coupled receptors,64,64,Ki,Ki,1.0,3,2003,2014,5.51,9.52,4.01
CHEMBL224,5-hydroxytryptamine receptor 2A,Homo sapiens,Human,Q5T8C0,G protein-coupled receptors,63,62,IC50; Ki,Ki,0.9841269841269841,6,2013,2021,5.34,9.52,4.18
CHEMBL1293267,G-protein coupled receptor 35,Homo sapiens,Human,Q9HC97,G protein-coupled receptors,189,61,EC50; IC50; Ki,IC50,0.5079365079365079,5,2012,2023,4.0,9.51,5.51
CHEMBL339,D(2) dopamine receptor,Rattus norvegicus,Non-human,P61169,G protein-coupled receptors,59,59,IC50; Ki,Ki,0.9830508474576272,5,2003,2014,5.52,8.85,3.33
CHEMBL219,D(4) dopamine receptor,Homo sapiens,Human,Q8NGM5,G protein-coupled receptors,70,51,IC50; Ki,Ki,0.9571428571428572,5,1997,2021,5.3,8.89,3.5900000000000007
CHEMBL218,Cannabinoid receptor 1,Homo sapiens,Human,Q9UNN0,G protein-coupled receptors,55,39,EC50; Ki,Ki,0.9090909090909091,4,2009,2021,4.68,7.66,2.9800000000000004
CHEMBL1075322,G-protein coupled receptor 55,Homo sapiens,Human,Q9Y2T6,G protein-coupled receptors,38,38,EC50; IC50,IC50,0.868421052631579,1,2013,2013,4.79,6.95,2.16
CHEMBL256,Adenosine receptor A3,Homo sapiens,Human,Q9BYZ1,G protein-coupled receptors,41,32,AC50; IC50; Ki,Ki,0.8292682926829268,3,2020,2023,4.53,6.59,2.0599999999999996
CHEMBL2414,C-C chemokine receptor type 4,Homo sapiens,Human,Q9ULY7,G protein-coupled receptors,31,31,IC50,IC50,1.0,1,2010,2010,4.23,7.67,3.4399999999999995
CHEMBL251,Adenosine receptor A2a,Homo sapiens,Human,P29274,G protein-coupled receptors,26,24,AC50; IC50; Ki,Ki,0.9230769230769231,4,2016,2023,4.19,6.13,1.9399999999999995
CHEMBL217,D(2) dopamine receptor,Homo sapiens,Human,Q9UPA9,G protein-coupled receptors,48,23,EC50; IC50; Ki,Ki,0.75,11,1997,2023,4.79,8.7,3.9099999999999993
CHEMBL234,D(3) dopamine receptor,Homo sapiens,Human,Q4VBM8,G protein-coupled receptors,36,22,IC50; Ki,Ki,0.9722222222222222,9,1997,2021,5.56,8.74,3.1800000000000006
CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,Human,Q4VBL4,G protein-coupled receptors,25,22,EC50,EC50,1.0,2,2022,2022,4.49,6.85,2.3599999999999994
CHEMBL3571,Cannabinoid receptor 1,Rattus norvegicus,Non-human,P20272,G protein-coupled receptors,22,19,EC50; Ki,Ki,0.9545454545454546,3,1997,2009,4.72,8.02,3.3
CHEMBL226,Adenosine receptor A1,Homo sapiens,Human,Q8TAM8,G protein-coupled receptors,18,18,Ki,Ki,1.0,3,2016,2022,4.39,5.62,1.2300000000000004
CHEMBL3943,Histamine H1 receptor,Cavia porcellus,Non-human,P31389,G protein-coupled receptors,16,16,Kd; Ki,Ki,0.5625,3,1984,2014,4.0,9.0,5.0
CHEMBL3138,D(3) dopamine receptor,Rattus norvegicus,Non-human,P70647,G protein-coupled receptors,15,14,IC50; Ki,Ki,0.6666666666666666,2,2013,2015,6.75,8.37,1.6199999999999992
CHEMBL344,Melanin-concentrating hormone receptor 1,Homo sapiens,Human,Q9BV08,G protein-coupled receptors,23,12,IC50,IC50,1.0,2,2005,2007,5.99,9.0,3.01
